,Date,Q1_TS,Q2_TS,Q3_TS
0,2016-12-22,0.38401806137023575,0.2798474396314381,0.26476220500604664
1,2017-01-01,0.4985543554595957,0.34098466009162065,0.2849584680524843
2,2017-01-11,0.5122075300998085,0.3930253406165887,0.33666893465191855
3,2017-02-10,0.6292948789936922,0.5007214129755245,0.41197626425683875
4,2017-02-20,0.6468475379837547,0.5002125736943317,0.4057704471759543
5,2017-03-02,0.5897579256936818,0.45602441088699464,0.3814187128210734
6,2017-03-12,0.6327589720714732,0.5407884620797933,0.4037945902017827
7,2017-04-01,0.651962803280668,0.5834319785552352,0.47193698471809187
8,2017-04-11,0.6540182303898314,0.5625110229248957,0.4637101297310387
9,2017-05-01,0.6666022155105931,0.5689920317375927,0.47553745822822985
10,2017-05-11,0.6875113941457622,0.5881606196439105,0.4784204484309136
11,2017-05-21,0.663667339766759,0.5732320911214168,0.4666747184014049
12,2017-05-31,0.6371790487340491,0.5583307672440664,0.4557778082011886
13,2017-06-20,0.5179783811114221,0.43910411712294317,0.3760503422149303
14,2017-07-10,0.2469371526594108,0.13656405464251492,0.05246355084222257
15,2017-07-20,0.4085197340285242,0.1668480403841667,0.08895177030404529
16,2017-07-30,0.2611025127852695,0.10190750099554198,0.07097339976272798
17,2017-08-09,0.34304194385081466,0.13166517478177386,0.07589830612959576
18,2017-08-19,0.33522479379903747,0.13436938879233934,0.06354163854146405
19,2017-09-08,0.1050316742780981,0.05766610310499368,0.0037463471405849618
20,2017-09-18,0.09490669901832825,0.08130771804040185,0.008880762924755727
21,2017-09-28,0.10049275415389652,0.07594375536246992,0.004938648501956203
22,2017-10-08,0.12676357406364994,0.1174358723881763,0.02948724791771963
23,2017-10-28,0.3375989545229024,0.2900735267837573,0.2759784982645869
24,2017-11-07,0.3757477988050861,0.3406683522511383,0.28964589089862064
25,2017-11-17,0.24522678623516578,0.16308680290357183,0.21964180610811831
26,2017-11-27,0.333252052741508,0.28445091372726117,0.32209087517901863
27,2017-12-07,0.5098316351501226,0.49532653912000213,0.44565497120277525
28,2017-12-17,0.540256551073473,0.5291650855453688,0.4507749409673565
29,2017-12-27,0.5275891111443033,0.49887069913901694,0.3358120827424219
30,2018-01-06,0.4173869301762155,0.41714279728222836,0.32657440051665776
31,2018-01-26,0.5283660075372566,0.4842047696769549,0.45954205930848513
32,2018-02-15,0.6078395770387622,0.5422284518236388,0.5108742297618558
33,2018-03-17,0.6731603308994744,0.6530653410775805,0.5966096645059423
34,2018-04-16,0.632641556764022,0.5742884840875327,0.5068653915946317
35,2018-04-26,0.6822425027935154,0.6643098273759519,0.5581418978605908
36,2018-05-06,0.5490159023741271,0.5399827813580493,0.4273565048624298
37,2018-05-26,0.4761361502773049,0.4494205182889962,0.3615180429223314
38,2018-06-05,0.6193980834518749,0.5730957662034455,0.41544543073162077
39,2018-06-15,0.39134845352987124,0.366346205173475,0.3254241613954623
40,2018-06-25,0.3931674787478377,0.34963180001613237,0.31214921072685664
41,2018-07-05,0.280937811797612,0.19225590337300988,0.20323902194929702
42,2018-07-15,0.33125145534715034,0.1997017520974327,0.23101531442338208
43,2018-07-25,0.28153073024578734,0.16285005013457993,0.19895940236664086
44,2018-08-04,0.24343644012229368,0.12499267139744429,0.16655901066478457
45,2018-08-14,0.1271827833805199,0.07056663216560949,0.07434529158868111
46,2018-08-24,0.10911555886167826,0.06050097953186104,0.0691896266610197
47,2018-09-03,0.10439795141333934,0.04709484829296149,0.07315434514831629
48,2018-09-13,0.07319624417464096,0.04462893188886905,0.046030221998917445
49,2018-10-03,0.10379752293011743,0.03511607331369032,0.011877784292296387
50,2018-10-23,0.12462111990232816,0.0802355903087739,0.012239742348045578
51,2018-11-02,0.21714901573735954,0.12977931223549813,0.03467235770646767
52,2018-11-12,0.2826233654229812,0.21983662526455539,0.12925259697517655
53,2018-11-22,0.1842876041223771,0.1398593179317986,0.11311362015547638
54,2018-12-02,0.26824636717149813,0.20709210854690346,0.12375298182877927
55,2019-01-01,0.4786805150414994,0.41461562750914005,0.3634116908952598
56,2019-01-21,0.5918003342401419,0.525282096207172,0.44342229344895645
57,2019-02-20,0.6266240948721692,0.5868371332638109,0.5441182736363057
58,2019-03-02,0.6314969332643697,0.5991367161944852,0.5639542313437595
59,2019-03-12,0.6590818893827595,0.6163636335092537,0.5905885902135088
60,2019-04-11,0.5124158968895812,0.4508218386528547,0.37176942798102813
61,2019-04-21,0.4343316715883146,0.4406607074830848,0.3099322939045994
62,2019-05-01,0.5710708461700437,0.5145546625215891,0.3554080901563467
63,2019-05-11,0.6458497731916014,0.6126860574302105,0.39437918151839657
64,2019-05-21,0.45047571926622487,0.4294890120116243,0.35513981289092444
65,2019-06-10,0.2555509053651468,0.21321000086903602,0.23470779382103843
66,2019-06-20,0.6116910726691258,0.5242300889086903,0.3548235862612892
67,2019-06-30,0.5827617621978568,0.4911631907993616,0.3150326942480988
68,2019-07-20,0.5656168383542942,0.44578926864331525,0.3294076183637658
69,2019-07-30,0.5554399049924921,0.43385674052558815,0.31551590576324906
70,2019-08-09,0.5134927807739931,0.40260105745894065,0.25278977978353684
